month,average_revenue,average_count
1,0.951555207755,7489
2,1.18419787217,7810
3,1.22819523238,7355
4,1.29689879758,6840
5,1.27505619696,6525
6,0.976919122901,7588
7,1.51057644985,7086
8,1.46298308708,5881
9,1.52511366106,5716
10,1.16440381914,5681
11,1.04078854537,5762
12,0.939945653516,5021
