minute,average_revenue,average_count
0,1.21423126885,6569
35,1.21442198936,6697
5,1.22692049533,6595
40,1.21455418377,6723
10,1.2150031956,6632
45,1.20766521557,6727
15,1.21306465788,6657
50,1.21089895502,6721
20,1.21845514321,6688
55,1.20930621807,6689
25,1.21389134368,6703
30,1.21711197729,6679
